username,original_comment,comment,sentiment,label
aby.msykr_azrxyz,intinya zi.. gini\njakarta kyak New York yg jadi pusat perdagangan negara\n& IKN (Nusantara) ibarat Washington DC yg jadi pusat pemerintahan!!,intinya sih jakarta kayak new york pusat perdagangan pemerintah kota nusantara Indonesia washington dc pusat pemerintahan,-5.6252,0
acengaja30,"hebat pak jokowi bpk berkuasa bnyk yg sudah dibangun dikota maupun di desa, ikn pun mampu bpk bangun bkn skdar kata kata belaka",hebat jokowi berkuasa dibangun dikota desa kota nusantara bangun skdar belaka,3.2857,1
acengfikri888,hutang hutang,hutang hutang,-0.0327,0
aceparipib,omdo,omong kosong,-0.7293,0
achmadsolichin36,"klopun nggak lagi krisis tetep aja anda akan menolak dn nggak setuju....hnya alasan aja, klopun nggak lagi sakit..apa otomatis anda bilang setuju...tentu tidak kan...hnya cari alasan sj",krisis tetep menolak setujuhnya alasan sakitapa otomatis bilang setujutentu kanhnya cari alasan,-2.6714,0
achmadyunussallah,apa warga baru yg berasal dari luar negara akan ikut jadi warga ikn,warga berasal pemerintah warga kota nusantara,-1.4225,0
achmal_nick,"Siappp bangtt, ga sabarrr🥰, Siappp bangtt, ga sabarrr🥰",banget sabar banget sabar,4.702,1
achyarsani512,ini solusi agar ibuk kota tidak banjir... mau ketawa takut....... hehehehehe,solusi kota banjir ketawa takut hehehehehe,-1.4242,0
acifitriah15,STOP IKN...Awas..BOBOL APBN...!!!!!!,berhenti ikn awas bobol anggaranan pembangunan belanja negara,-3.9108,0
acihmarsih,ini saya suka dri presiden Jokoi lanjut terus bangunan x jgn kalah dri negara lain mantap tap tap...👍👍,suka presiden jokoi bangunan x kalah pemerintah mantap tap tap,1.9849,1
acihmintarsih990,ada uang nya ga pa,tersedia uang nya pa,-1.2014,0
acok_amir,mimpi,mimpi,0.4764,1
adam_jojnfad,mau sampai kapan ngumpul di jakarta sedang kan timur terus terlupakan 😏,ngumpul jakarta timur terlupakan,-2.1173,0
addyproject,lanjut 3 periode pak,3 periode,-0.0327,0
ade.key,benahi dulu p ekonomi,benahi ekonomi,-1.1331,0
adeffa1,Jauh kali ibu kota .Aku pipih jakarta aja,kali kota pipih jakarta,-1.6653,0
adeirpani1,coba kalau bikin lapangan kerja uang trliunan pasti tida banyak yang nganggur,coba lapangan kerja uang trliunan tida menganggur,-0.5992,0
adeknya_jisoo_blackpink1,2023 ganti rakyat🥰,2023 ganti rakyat,-0.8835,0
adelalia24_,sekarang udh setengah jdi gedung nya??,gedung nya,-0.6384,0
ademarlintonz,Yg penting menjadi ekonomi Baru menyerap pekerjaan yg banyak.. seperti negara lain.. apakah kita akan terus begini?? negara ini bukan Jawa saja,ekonomi menyerap pekerjaan pemerintah pemerintah jawa,-1.324,0
adenyy0,semangat pak Jokowi jangan sampai Jakarta tenggelam dulu baru mau bangun IKN,semangat jokowi jakarta tenggelam bangun kota nusantara,2.9162,1
adesalon20,presiden seumur hidup 🥰 sehat selalu pakde,presiden seumur hidup sehat pakde,4.7409,1
adesbackcroom,masa depan teruuuuus\nmasa desa yang plosok2 juga masih jauh ketinggalan,teruuuuus desa plosok2 ketinggalan,0.657,1
adetea887,harga harga mahal.rakyat kecil menjerit.,harga harga mahalrakyat menjerit,-2.2334,0
adezedka_19,"Kebetulan Bgt Gw Kmren Ke IKN Ngeliat Foto Proyek2 Besar Lain Selain Gedung Presiden Di Kalimantan Timur, Moga Berjalan Lancar 😁😁",banget kemarin kota nusantara foto proyek2 gedung presiden kalimantan timur semoga berjalan lancar,3.4928,1
adhejoe213,PROYEK PROYEK 😂😂😂😂 OLIGARKI 😂😂,proyek proyek oligarki,-0.0327,0
adhisthia,siiip semoga berhasil amin3,sip semoga berhasil amin3,4.1909,1
adisantoso44,gara..gara presiden ini perpu disahkan DPR,gara-gara presiden perpu disahkan dpr,-3.8071,0
aditboboku,"hutan Kalimantan terancam,,jantung dunia tuh pikir2 lagi",hutan kalimantan terancamjantung dunia tuh pikir2,-1.1123,0
aditiya17911,😂😂😂😂😂😂@aku percaya gak yaa,percaya ya,-0.1468,0
adityarizki_f,ooooooooooh,oh,-0.7276,0
adlyy74,"guys ,ibu kota tetep Jakarta yg di pindah cuma pemerintah ny aja kayak Amerika, Washington tempat pemerintah semua dlln",teman-teman kota tetep jakarta mengubah pemerintah nya amerika washington pemerintah lain-lain,-4.7447,0
admin_nggambaromah,ya ndak tahu kok tanya saya,yah,-1.4207,0
admireon,konsep nya kaya amerika kota metropolitan sama ibu kota dipisah,konsep nya kaya amerika kota metropolitan kota pisah,-0.4928,0
adnr41_,"cuma mau tanyaa, kalo pindah ibu kota itu akan mempengaruhi harga jual gasi??",mengubah kota mempengaruhi harga jual yah,-5.0128,0
adolffadey4,B A C O T T T,b a c o t t t,-0.7293,0
adrikotto,setahu sy gak ada bung Karno punya keinginan pindah ibu kota,setahu tersedia karno mengubah kota,-0.7293,0
adsaaa2,cuman 1 lah paru2 dunia jadinya,cuman 1 paru-paru dunia,-1.7409,0
adtalexander,bang kalo ibu kota pindah\napakah Jakarta akan jadi ibu tiri,bang kota mengubah jakarta tiri,1.0573,1
ady.g7,sehat selalu presidenku ❤️,sehat presidenku,3.278,1
adyssalau,kepo deh pgn kesanaa,penasaran deh,-0.168,0
adzkiyaww,aku kasihan sm pohon pohon yg di tebang🥺😢😭,kasihan pohon pohon tebang,-1.1382,0
aekwijayabudaya,Buktikab mana dokumennya JKW,buktikan dokumennya jokowi,1.4397,1
afandi048,akhir nya kalimantan terakses jalan TOL semoga semangkin berkembang maju kalimantan 🙏,nya kalimantan terakses jalan tol semoga berkembang majukan kalimantan,1.2164,1
afdalaquaqu,harus selesai dalam tiga tahun dengan fasilitasnya yang terlengkap dari seluruh seluruh ibu kota negara dunia.,selesai fasilitasnya terlengkap kota pemerintah dunia,-0.1383,0
afifs02,"pak Jokowi...hebat....🥰, pak Jokowi...hebat....🥰",jokowi hebat jokowi hebat,8.822,1
afri5900,BORNEO NUSANTARA,borneo Indonesia,-0.0344,0
aftafsh22,iyelah,iyalah,-0.7276,0
agathaindahrs,suatu saat Kalimantan akan jadi seperti Jakarta yg penuh,kalimantan jakarta penuh,-1.9821,0
ageungfirliansyah74,SYULIT SYULIT😅😂😂😂,sulit sulit,-2.2334,0
agilarsyzili,pake dana dari mana pak lonutang,pakai dana lonutang,-0.0344,0
agnes412yti,setuju,setuju,0.302,1
agnes_aries,gila ini. presiden tercacat paling terburuk..,gila presiden tercacat terburuk,-2.4555,0
agusa.ptr,Pak jokowi paling srtahun berkantor di sana nanti..lanjut pak prabowo yg jdi presiden,jokowi setahun berkantor prabowo presiden,2.826,1
agusagustus267,"gimana caranya agar bbm bsa produksi sndiri gk import melulu, kira2bnyak yg stuju gk ya",bbm produksi sndiri import melulu setuju yah,-3.1706,0
agusaljabar2078,presiden paling pemberani.top markotop..indonesia negara besar.,presiden pemberanitop markotopindonesia pemerintah,0.187,1
agusmelas06,"isinya orang kaya semua,",isinya orang kaya,-2.396,0
aguspancanugroho,yg pasti dana pak dhe...,dana dhe,-0.0327,0
agussalim11,ibukota sebatas impian 🤣🤣🤣🤣🤣,kota sebatas impian,-0.7293,0
agussalimphs,emang indonesia punya masa depan? ikan itu untuk masa depan asing,indonesia ikan asing,-0.731,0
agusser1,"urus tu kesejahteraan rakyat,jangan ngamburkan uang negara,rakyat aja masih susah, ikn m😏ngkin persiapan untuk negara...............🤭🤭🤭",urus kesejahteraan rakyatjangan ngamburkan uang negararakyat susah kota nusantara mngkin persiapan pemerintah,-4.0038,0
agustinuskusmarta,maju trs untuk negriku indosia demi kemakmuran rakyat mksh pk Jokowo pk. Prabowo,majukan negriku indosia kemakmuran rakyat mksh jokowo prabowo,0.5924,1
agustus61,maju terus Indonesia,majukan indonesia,0.8801,1
ahadsan_dede,"sebuah penghargaan untuk orang Lombok, Presiden pakai baju adat Lombok untuk mengumumkan pemindahan Ibu Kota",penghargaan orang lombok presiden pakai baju adat lombok mengumumkan pemindahan kota,0.5956,1
ahayyy78,ke bayang gak utang indo jadi berapa?🤣🤣🤣 tar siapa yg bayar?🤣🤣,bayang utang indonesia bayar,-3.5344,0
ahf_678,gw pas kecil taunya ibu kotanya Bandung,pas taunya kotanya bandung,-1.5532,0
ahh_masa,"nanti siapa yg urus Jakarta?\nbanjir sampah dll tetap bakal ada,",urus jakarta banjir sampah lain-lain tersedia,-4.5377,0
ahmad_syafiq46,ya allah hamba mohon mudahkan lah pak anis jadi presiden selanjutnya🥰🥰,yah allah hamba mohon mudahkan anis presiden,0.7992,1
ahmadanshori6785,"sebelum jd ibu kota aja, kami anak Kalimantan sudah mulai hilang hutan kami bintang liar sudah mulai punah, apa lagi pindah.. maaa abah tolongg",kota anak kalimantan hilang hutan bintang liar punah mengubah ayah tolongg,-1.3587,0
ahmaddedensitorus,pkoknya 3 priyode.. dhebess.. 👍👍👍,pkoknya 3 priyode dhebess,-0.0327,0
ahmadfadil388,tolak banteng🗿,tolak banteng,-1.1331,0
ahmadkamililkhair,ibu kota nya Kalimantan timur,kota nya kalimantan timur,-2.4336,0
ahmadmuchtar873boby,buat siapa pak yg bakal hidup d sana ..rakyat Indonesia apa rakyat tiongkok😂😂😂,hidup rakyat indonesia rakyat tiongkok,-0.7581,0
ahmadmudiyono2,setuju pk presiden Jokowi best,setuju presiden jokowi terbaik,3.1608,1
ahmadr4dian,mudah gua nyari cuan nanti 😂😂,mudah mencari uang,-0.5285,0
ahmadsahbandihas,hingga skrg masih bingung nyarik INVESTOR,bingung mencari investor,-1.0658,0
ahmadygy253,menghindari demo warga indonesia😂😂,menghindari demonstrasi warga indonesia,-0.0362,0
ahmiahmad2,ibu kota pindah asik hutang baru,kota mengubah asik hutang,0.5217,1
ahzaramadhanch,aku hny cinta jakarta,cinta jakarta,0.3693,1
aidenpenguasa010103,Pak Jokowi hebat🥰🥰🥰🥰,jokowi hebat,4.3947,1
aiii.kho,gw jdi khawatir,khawatir,-0.0327,0
aileenlim29,Keren,keren,3.8776,1
aishwanahlanahl67,lanjut 3 periode,3 periode,-0.0327,0
aisyhoktaaav_,Takut kalimantanku dirusak🥺,takut kalimantanku dirusak,-1.7101,0
ajenggseptianiii,"bahhhh bener banget nih, iyahhh nihhh, Iyah bener banget, setuju nihhh, mantap pokonya",bahhhh banget nih iyahhh nih iyah banget setuju nih mantap pokoknya,4.7449,1
aji...w,bang letak monas nya dimana?,bang letak monas nya dimana,0.4585,1
ajiephamungkaz,kita liat ajj ada apa di balik ini semua.,lihat aja tersedia,-1.6247,0
ajiksanjaya2020,"Kereenn Pokok nya 🥰, Kereenn Pokok nya 🥰",keren pokok nya keren pokok nya,6.5732,1
ajipanguntul,SERAH SITU GAK YA SITU PAK 😂🤣,serah situ yah situ,-6.0109,0
ajirahmani18,Pantesan bos temen gw org cina banyak yg beli tanaha di Kaltim..,pantesan bos teman orang cina beli tanah kalimantan timur,-5.8512,0
ajotaja598,kenapa bung karno ga jadi pindah Ibu kota itu krna anggarannya yg sangat besar jangan d paksakan ada yg lebih penting dari itu...,karno mengubah kota anggarannya paksakan tersedia,-1.1365,0
ajubriadi,"yg jls mmbuat rkyt mnderita.krn pjak,bbm,listrk naik.",rakyat menderita pajak bbm listrik,-1.7119,0
akal_sehatttt,utang dulu oe😂,utang oe,-0.0327,0
akane.jery,mungkin visi yg bagus hanya saja liat kondisi keuangan dan minat investor pun gak ada jangan dipaksakan dulu krna memang ekonomi global lg ga bagus kn,visi bagus lihat kondisi keuangan minat investor tersedia dipaksakan ekonomi global bagus,-0.8151,0
akangsunda89,pindah kemana pak,mengubah kemana,-0.0344,0
akecho.djl,Kalo Pindah Protes Ga Pindah Tenggelam Serba Salah 😂😂,mengubah protes mengubah tenggelam serba salah,1.2396,1
akentragil_81,kalimantan mau di jadikan Singapore ke-2 oleh China-Indonesia,kalimantan jadikan singapore ke2 chinaindonesia,-0.0327,0
akhmadrofikhidayat,coba pindah ibukota setiap 30 tahun sekali,coba mengubah kota 30,-1.6473,0
akhmadsubagio,"Sebagai rakyat kecil hanya bisa mendengarkan dan berdoa semoga bukan omong kosong, tetapi bisa jadi bukti nyata dan menguntungkan Indonesia",rakyat mendengarkan berdoa semoga omong kosong bukti nyata menguntungkan indonesia,3.2122,1
akianleovenus,"yang penting masa depan Indonesia yg terbaik, pak Jokowi itu yg terbaik dan untuk perubahan Indonesia yg maju.",indonesia terbaik jokowi terbaik perubahan indonesia majukan,2.8209,1
akimadmz,Bravo pak,selamat,0.841,1
aklexteklex,yg sy tau tujuan utama ikn untuk mengejar jam bursa efek dunia,tujuan utama kota nusantara mengejar jam bursa efek dunia,-1.8796,0
akmalamal01,ongkir ke makassar🥰🥰🥰🥰😁😁😁,ongkos kirim makassar,1.0642,1
aksadana602,Aelah nanti siaran TV jadi Jam Wita 🗿,yah siaran tv jam wita,-3.5053,0
aku_akan_kembalilagi2023,sya tidak setuju karena Kalimantan termasuk hutan ter hijau,setuju kalimantan hutan ter hijau,-0.3928,0
akubahagia592,klu sudah pindah Jakarta bakal jadi kota tua terbengkalai,mengubah jakarta kota tua terbengkalai,-1.7136,0
akucantek1111,"habis lah hutan borneo kami😞,, kuatkan lagi persatuan kita di tanah borneo,, agar mereka tidak semena2 dengan kita nntynya,,",habis hutan borneo kuatkan persatuan tanah borneo semena-mena,-2.4929,0
akusukasholat,"SAYA ORANG KALIMANTAN KURANG SETUJU NANTI MALAH MERUSAK ALAM DI KALIMANTAN 😤😡, SAYA ORANG KALIMANTAN KURANG SETUJU NANTI MALAH MERUSAK ALAM DI KALIMANTAN 😤😡",orang kalimantan setuju merusak alam kalimantan orang kalimantan setuju merusak alam kalimantan,-4.3733,0
alangudin,mantap pak de😁,mantap,2.6736,1
alapalap40,banyak proyek banyak bisnis keuntungan ya pak,proyek bisnis keuntungan yah,0.3676,1
albuc2,PPKn kpn di cabuut...kapan bisa dagang lg,ppkn cabuutkapan dagang,-0.0327,0
alcringe07,asik bisa ngerasain Indomaret taun depan,asik merasakan indomaret,1.2183,1
aldi_bahasfilm,"ini jelas banget sih, ngejelasinnya. detail banget. salut🥰 thx min... i love that",banget detail banget salut terima kasih admin i cinta that,7.413,1
aldiansyah3873,ya cma gk setuju dengan anggaran yang besar itu di tambah negeri ini lagi bangkit dri wabah covid yg harusnya anggaran nya buat bangkit pasca covid,yah setuju anggaran negeri bangkit wabah covid anggaran nya bangkit pasca covid,-0.1927,0
aldode1945,semoga desa kami ga di gusur soal nya desa kami udah lama,semoga desa gusur nya desa,2.6707,1
aldy964,paru2 nya dunia ko di bikin bangunan 🙈🙈🙈🙈,paru-paru nya dunia ko bangunan,-1.6551,0
alea.leee,takut hutan Kalimantan jdi gedung semua:),takut hutan kalimantan gedung,-0.7276,0
alectonotsave,yahh Kalimantan ga hijau lagii:<,yahh kalimantan hijau,-0.0327,0
aleemyname,Jangan sampe ngutang buat ngelanjutin proyeknya ya..,berhutang melanjutkan proyeknya yah,-1.4207,0
alex.jatipelem.01,jahat pemerintah,jahat pemerintah,-2.3387,0
alex_official20105,yah udah gada gratis ongkir lagi deh 😔☝🏻,yah gratis ongkos kirim deh,1.8418,1
alexanderkhrushchev,presiden yang kucintai sekalipun aku tidak pernah dapat bantuan,presiden kucintai bantuan,2.6702,1
alexna.ars,gua takuttt mapell makin susah,takut mapell susah,-1.2401,0
alfa_tiktok_ml,"cari kerja kalau mau ekonomi nya bagus , jangan salah kan pemerintah",cari kerja ekonomi nya bagus salah pemerintah,-0.685,0
alfajrmedia,"Yg ada aja dulu diurus, baru buat2 yg lain.",tersedia diurus buat2,-1.5385,0
alfarizal5,minimal ngk nambah utang lh,minimal utang,-0.0327,0
alfaruq975,boleh2 saja ibukota di pindah...kira2 ada gak uangnya ya?,boleh-boleh kota pindahkira2 tersedia uangnya yah,-3.3701,0
alfasha243,sehat2 bapake🥰,sehat-sehat bapake,1.6686,1
